Key,en,es,ar,fr,hi
Dashboard,Dashboard,Panel,لوحة القيادة,Tableau de bord,डैशबोर्ड
Language,Language,Idioma,لغة,Langue,भाषा
Information,Information,Información,معلومة,Information,जानकारी
Language Information,Language Information,Información de idioma,معلومات اللغة,Informations linguistiques,भाषा संबंधी जानकारी
Language Manager,Language Manager,Administrador de idiomas,مدير اللغة,Gestionnaire de langues,भाषा प्रबंधक
Idioma creado correctamente,Idioma creado correctamente,Idioma creado correctamente,لغة تم إنشاؤها بشكل صحيح,Idioma créé correctement,मुझे सुधारना चाहिए
Join us in shaping the future of technology,Join us in shaping the future of technology,Únase a nosotros para dar forma al futuro de la tecnología,انضم إلينا في تشكيل مستقبل التكنولوجيا,Rejoignez-nous pour façonner l’avenir de la technologie,प्रौद्योगिकी के भविष्य को आकार देने में हमारे साथ जुड़ें
Enter your email:,Enter your email:,Introduce tu correo electrónico:,أدخل بريدك الإلكتروني:,Entrez votre email:,अपना ईमेल दर्ज करें:
DOWNLOAD APPS,DOWNLOAD APPS,DESCARGAR APLICACIONES,تنزيل التطبيقات,TÉLÉCHARGER DES APPLICATIONS,ऐप्स डाउनलोड करें
USEFULL LINKS,USEFULL LINKS,ENLACES ÚTILES,روابط مفيدة,LIENS UTILES,उपयोगी कड़ियाँ
Privacy Policy,Privacy Policy,política de privacidad,سياسة الخصوصية,politique de confidentialité,गोपनीयता नीति
Terms & Condition,Terms & Condition,Términos y condiciones,الشروط والأحكام,Stripcard,नियम व शर्त
Refund Policy,Refund Policy,Política de reembolso,سياسة استرداد الأموال,Politique de remboursement,भुगतान वापसी की नीति
CONTACT US,CONTACT US,CONTÁCTENOS,اتصل بنا,CONTACTEZ-NOUS,हमसे संपर्क करें
Copyright ©2023. All Rights Reserved by,Copyright ©2023. All Rights Reserved by,Derechos de autor ©2023. Todos los derechos reservados por,حقوق النشر ©2023. جميع الحقوق محفوظة بواسطة,Droits d'auteur ©2023. Tous droits réservés par,कॉपीराइट ©2023. सर्वाधिकार सुरक्षित
Topbar Color,Topbar Color,Color de la barra superior,لون الشريط العلوي,Couleur de la barre supérieure,टॉपबार रंग
Sidebar Color,Sidebar Color,Color de la barra lateral,لون الشريط الجانبي,Couleur de la barre latérale,साइडबार का रंग
Settings,Settings,Ajustes,إعدادات,Paramètres,सेटिंग्स
English,English,Inglés,إنجليزي,Anglais,अंग्रेज़ी
API Key,API Key,Clave API,مفتاح واجهة برمجة التطبيقات,Clé API,एपीआई कुंजी
Canceled Logs,Canceled Logs,Registros cancelados,السجلات الملغاة,Journaux annulés,रद्द किए गए लॉग
All Logs,All Logs,Todos los registros,جميع السجلات,Tous les journaux,सभी लॉग
Subscriptions,Subscriptions,Suscripciones,الاشتراكات,Abonnements,सदस्यता
TRANSACTIONS & LOGS,TRANSACTIONS & LOGS,TRANSACCIONES Y REGISTROS,المعاملات والسجلات,TRANSACTIONS ET JOURNAUX,लेन-देन और लॉग
Setup Currency,Setup Currency,Configuración de moneda,عملة الإعداد,Devise de configuration,सेटअप मुद्रा
Panel,Panel,Panel,لوحة,Panneau,पैनल
Transactions log,Transactions log,Registro de transacciones,سجل المعاملات,Journal des transactions,लेन-देन लॉग
Pending Logs,Pending Logs,Registros pendientes,السجلات المعلقة,Journaux en attente,लंबित लॉग
Completed Logs,Completed Logs,Registros completados,السجلات المكتملة,Journaux terminés,पूर्ण लॉग
Interface Panel,Interface Panel,Panel de interfaz,لوحة الواجهة,Panneau d'interface,इंटरफ़ेस पैनल
User Care,User Care,Atención al usuario,رعاية المستخدم,Entretien utilisateur,उपयोगकर्ता देखभाल
Active Users,Active Users,Usuarios activos,المستخدمون النشطون,Utilisateurs actifs,सक्रिय उपयोगकर्ता
App Version,App Version,Versión de la aplicación,إصدار التطبيق,Version de l'application,एप्लिकेशन वेरीज़न
Life is all about AI,Life is all about AI,La vida se trata de IA,الحياة تدور حول الذكاء الاصطناعي,La vie est avant tout une question d'IA,जीवन पूरी तरह से एआई के बारे में है
Join us in shaping the future ofS,Join us in shaping the future of,Únase a nosotros para dar forma al futuro de,انضم إلينا في تشكيل مستقبل,Rejoignez-nous pour façonner l'avenir de,के भविष्य को आकार देने में हमारे साथ जुड़ें
TECHNOLOGY,TECHNOLOGY,TECNOLOGÍA,تكنولوجيا,TECHNOLOGIE,तकनीकी
Sign In,Sign In,Iniciar sesión,تسجيل الدخول,Se connecter,दाखिल करना
Sign Up,Sign Up,Inscribirse,اشتراك,S'inscrire,साइन अप करें
Please input your username and password and login to your account to get access to your dashboard.,Please input your username and password and login to your account to get access to your dashboard.,Ingrese su nombre de usuario y contraseña e inicie sesión en su cuenta para obtener acceso a su panel de control.,يرجى إدخال اسم المستخدم وكلمة المرور وتسجيل الدخول إلى حسابك لتتمكن من الوصول إلى لوحة التحكم الخاصة بك.,Veuillez saisir votre nom d'utilisateur et votre mot de passe et vous connecter à votre compte pour accéder à votre tableau de bord.,कृपया अपना उपयोगकर्ता नाम और पासवर्ड दर्ज करें और अपने डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपने खाते में लॉगिन करें।
Email Address,Email Address,Dirección de correo electrónico,عنوان البريد الإلكتروني,Adresse email,मेल पता
Sign In with,Sign In with,Iniciar sesión con,تسجيل الدخول مع,Connectez-vous avec,के साथ साइन इन करें
Continue as a guest,Continue as a guest,Continuar como invitado,استمر كضيف,Continuer en tant qu'invité,अतिथि के रूप में जारी रखें
EN,EN,ES,إن,FR,एन
or,or,o,أو,ou,या
Hours 24,24 Hours,24 Horas,24 ساعة,24 heures,24 घंटे
